date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:59	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%2247-66239d83-ca9ff7a8affafd3e;;;%22	https://www.mentegoz.com/robots.txt		(from )
09:36:59	127876/127876	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2004:07:00%20GMT	https://www.mentegoz.com/	C:/My%20Web%20Sites/websitetemplate/www.mentegoz.com/index.html	(from )
09:37:00	32242/32242	---M--	200	added ('OK')	image/webp	etag:%227df2-6572a10c-1efa8f148e978567;;;%22	https://www.mentegoz.com/web/assets/img/woman2.webp	C:/My%20Web%20Sites/websitetemplate/www.mentegoz.com/web/assets/img/woman2.webp	(from https://www.mentegoz.com/)
09:37:00	10934/10934	---M--	200	added ('OK')	image/webp	etag:%222ab6-656ffbf9-9f77ab4ba44527cd;;;%22	https://www.mentegoz.com/web/assets/img/ment-favicon.webp	C:/My%20Web%20Sites/websitetemplate/www.mentegoz.com/web/assets/img/ment-favicon.webp	(from https://www.mentegoz.com/)
09:37:00	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/websitetemplate/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.mentegoz.com/)
09:37:01	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%226494c7bb-423%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/websitetemplate/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.mentegoz.com/)
09:37:01	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/websitetemplate/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://www.mentegoz.com/)
09:37:02	61352/61352	---M-Z	200	added ('OK')	text/css	etag:%22649564fd-1120%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.2.3/animate.min.css	C:/My%20Web%20Sites/websitetemplate/cdnjs.cloudflare.com/ajax/libs/animate.css/3.2.3/animate.min.css	(from https://www.mentegoz.com/)
09:37:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2004:07:03%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/websitetemplate/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.6.delayed	(from https://www.mentegoz.com/)
09:37:02	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/websitetemplate/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.mentegoz.com/)
